GeneSymbol	Ensembl_Gene_ID	Gene_biotype
KRTAP16-1	ENSG00000292043	protein_coding
KRTAP16-1	ENSG00000263186	protein_coding
KRTAP16-1	ENSG00000212657	protein_coding
KRTAP5-7	ENSG00000244411	protein_coding
LAMA3	ENSG00000053747	protein_coding
LBX2	ENSG00000179528	protein_coding
LCK	ENSG00000182866	protein_coding
LDLRAD2	ENSG00000187942	protein_coding
LEKR1	ENSG00000197980	protein_coding
LGSN	ENSG00000146166	protein_coding
LHB	ENSG00000104826	protein_coding
LILRB2	ENSG00000276146	protein_coding
LILRB2	ENSG00000275463	protein_coding
LILRB2	ENSG00000277751	protein_coding
LILRB2	ENSG00000274513	protein_coding
LILRB2	ENSG00000131042	protein_coding
LILRB5	ENSG00000277414	protein_coding
LILRB5	ENSG00000278437	protein_coding
LILRB5	ENSG00000273991	protein_coding
LILRB5	ENSG00000274311	protein_coding
LILRB5	ENSG00000105609	protein_coding
LINGO4	ENSG00000213171	protein_coding
LRRC15	ENSG00000172061	protein_coding
LRRIQ4	ENSG00000188306	protein_coding
LRRN3	ENSG00000173114	protein_coding
LTA	ENSG00000230279	protein_coding
LTA	ENSG00000238130	protein_coding
LTA	ENSG00000223919	protein_coding
LTA	ENSG00000231408	protein_coding
LTA	ENSG00000226275	protein_coding
LTA	ENSG00000173503	protein_coding
LTA	ENSG00000226979	protein_coding
LUZP2	ENSG00000187398	protein_coding
LYPD5	ENSG00000159871	protein_coding
LYPD8	ENSG00000259823	protein_coding
MASP1	ENSG00000291559	protein_coding
MASP1	ENSG00000127241	protein_coding
MAT1A	ENSG00000151224	protein_coding
MCCD1	ENSG00000204511	protein_coding
MCCD1	ENSG00000225228	protein_coding
MCCD1	ENSG00000226841	protein_coding
MCCD1	ENSG00000231975	protein_coding
MCCD1	ENSG00000226923	protein_coding
MCCD1	ENSG00000228662	protein_coding
MCCD1	ENSG00000238238	protein_coding
MCCD1	ENSG00000206447	protein_coding
MCF2	ENSG00000101977	protein_coding
MCF2L	ENSG00000126217	protein_coding
MECOM	ENSG00000085276	protein_coding
MEFV	ENSG00000103313	protein_coding
MESP2	ENSG00000188095	protein_coding
MFAP2	ENSG00000117122	protein_coding
MFSD2B	ENSG00000205639	protein_coding
MKI67	ENSG00000148773	protein_coding
MLPH	ENSG00000115648	protein_coding
MMP28	ENSG00000278843	protein_coding
MMP28	ENSG00000271447	protein_coding
MS4A15	ENSG00000166961	protein_coding
MTTP	ENSG00000138823	protein_coding
MUC1	ENSG00000185499	protein_coding
MYADML2	ENSG00000185105	protein_coding
MYBPC3	ENSG00000134571	protein_coding
MYBPHL	ENSG00000221986	protein_coding
MYL4	ENSG00000198336	protein_coding
MYO3B	ENSG00000071909	protein_coding
MYO7B	ENSG00000169994	protein_coding
NAV3	ENSG00000067798	protein_coding
NIPAL4	ENSG00000172548	protein_coding
NKAPL	ENSG00000189134	protein_coding
NOTCH3	ENSG00000074181	protein_coding
NSG1	ENSG00000168824	protein_coding
NTM	ENSG00000182667	protein_coding
NTRK1	ENSG00000198400	protein_coding
OCM	ENSG00000122543	protein_coding
OOEP	ENSG00000203907	protein_coding
OPRD1	ENSG00000116329	protein_coding
OR10AD1	ENSG00000172640	protein_coding
OR13A1	ENSG00000277495	protein_coding
OR13A1	ENSG00000256574	protein_coding
OR2AG1	ENSG00000279486	protein_coding
OR2AG2	ENSG00000188124	protein_coding
OR2AK2	ENSG00000187080	protein_coding
OR2D3	ENSG00000178358	protein_coding
OR2L2	ENSG00000203663	protein_coding
OR52B2	ENSG00000255307	protein_coding
OR52I2	ENSG00000226288	protein_coding
OR52W1	ENSG00000175485	protein_coding
OR56B4	ENSG00000180919	protein_coding
OR5AN1	ENSG00000176495	protein_coding
OR5K2	ENSG00000231861	protein_coding
OR9A4	ENSG00000258083	protein_coding
ORM1	ENSG00000229314	protein_coding
ORM2	ENSG00000228278	protein_coding
OXT	ENSG00000101405	protein_coding
PABPN1L	ENSG00000205022	protein_coding
PCNA	ENSG00000132646	protein_coding
PCP4L1	ENSG00000248485	protein_coding
PCSK1	ENSG00000175426	protein_coding
PDE1A	ENSG00000115252	protein_coding
PDPN	ENSG00000162493	protein_coding
PEAR1	ENSG00000187800	protein_coding
PGAM4	ENSG00000226784	protein_coding
PGPEP1L	ENSG00000183571	protein_coding
PHLDB1	ENSG00000019144	protein_coding
PID1	ENSG00000153823	protein_coding
PIK3R6	ENSG00000276231	protein_coding
PLA2R1	ENSG00000153246	protein_coding
PLAC8L1	ENSG00000173261	protein_coding
PLAT	ENSG00000104368	protein_coding
PLCXD3	ENSG00000182836	protein_coding
PLXNA4	ENSG00000221866	protein_coding
POMC	ENSG00000115138	protein_coding
PON3	ENSG00000105852	protein_coding
POTEF	ENSG00000196604	protein_coding
PPAN-P2RY11	ENSG00000243207	protein_coding
PPIL6	ENSG00000185250	protein_coding
PPM1N	ENSG00000213889	protein_coding
PPP1R14D	ENSG00000166143	protein_coding
PPP1R27	ENSG00000288186	protein_coding
PPP1R27	ENSG00000182676	protein_coding
PPP1R42	ENSG00000178125	protein_coding
PRCD	ENSG00000214140	protein_coding
PRDM7	ENSG00000126856	protein_coding
PRF1	ENSG00000180644	protein_coding
PRLR	ENSG00000113494	protein_coding
PROC	ENSG00000115718	protein_coding
PROK2	ENSG00000163421	protein_coding
PRPH2	ENSG00000112619	protein_coding
PRRT4	ENSG00000224940	protein_coding
PRSS37	ENSG00000165076	protein_coding
PSEN2	ENSG00000143801	protein_coding
PSMB11	ENSG00000222028	protein_coding
PTAFR	ENSG00000169403	protein_coding
PTGER2	ENSG00000125384	protein_coding
PTGIS	ENSG00000124212	protein_coding
PTGS2	ENSG00000073756	protein_coding
RAG1	ENSG00000166349	protein_coding
RAP1GAP2	ENSG00000132359	protein_coding
REP15	ENSG00000174236	protein_coding
RFPL3	ENSG00000128276	protein_coding
RFPL4A	ENSG00000223638	protein_coding
RLBP1	ENSG00000140522	protein_coding
ROPN1B	ENSG00000114547	protein_coding
RORC	ENSG00000143365	protein_coding
RPEL1	ENSG00000235376	protein_coding
RRAD	ENSG00000166592	protein_coding
RSPO1	ENSG00000169218	protein_coding
RTBDN	ENSG00000132026	protein_coding
SAA1	ENSG00000288411	protein_coding
SAA1	ENSG00000173432	protein_coding
SAMD3	ENSG00000164483	protein_coding
SBK1	ENSG00000188322	protein_coding
SCN4B	ENSG00000177098	protein_coding
SEBOX	ENSG00000274529	protein_coding
SERPINB2	ENSG00000197632	protein_coding
SERPIND1	ENSG00000099937	protein_coding
SERPINF2	ENSG00000276838	protein_coding
SERPINF2	ENSG00000167711	protein_coding
SFTPB	ENSG00000168878	protein_coding
SHBG	ENSG00000129214	protein_coding
SHE	ENSG00000169291	protein_coding
SHISA3	ENSG00000178343	protein_coding
SIRPB1	ENSG00000101307	protein_coding
SIRPB2	ENSG00000196209	protein_coding
SLC11A1	ENSG00000018280	protein_coding
SLC12A1	ENSG00000074803	protein_coding
SLC29A4	ENSG00000164638	protein_coding
SLC2A4	ENSG00000288174	protein_coding
SLC2A4	ENSG00000181856	protein_coding
SLC35G6	ENSG00000284515	protein_coding
SLC35G6	ENSG00000259224	protein_coding
SLC52A1	ENSG00000132517	protein_coding
SLC5A10	ENSG00000154025	protein_coding
SLC6A19	ENSG00000174358	protein_coding
SLC6A3	ENSG00000276996	protein_coding
SLC6A3	ENSG00000142319	protein_coding
SLC6A4	ENSG00000108576	protein_coding
SLC8A3	ENSG00000100678	protein_coding
SMCO1	ENSG00000214097	protein_coding
SMCO2	ENSG00000165935	protein_coding
SMCO3	ENSG00000179256	protein_coding
SNCA	ENSG00000145335	protein_coding
SNCB	ENSG00000074317	protein_coding
SPATA45	ENSG00000185523	protein_coding
SPDYC	ENSG00000204710	protein_coding
SPDYE3	ENSG00000214300	protein_coding
SPHKAP	ENSG00000153820	protein_coding
SPP1	ENSG00000118785	protein_coding
SPRY4	ENSG00000187678	protein_coding
SPTSSB	ENSG00000196542	protein_coding
SSTR2	ENSG00000180616	protein_coding
STAR	ENSG00000147465	protein_coding
STH	ENSG00000281139	protein_coding
STH	ENSG00000256762	protein_coding
STX19	ENSG00000178750	protein_coding
SUMO4	ENSG00000177688	protein_coding
SYCE3	ENSG00000217442	protein_coding
SYNDIG1L	ENSG00000183379	protein_coding
SYTL3	ENSG00000164674	protein_coding
TAC4	ENSG00000176358	protein_coding
TAGLN3	ENSG00000144834	protein_coding
TBC1D3	ENSG00000274611	protein_coding
TBC1D3B	ENSG00000274939	protein_coding
TBC1D3B	ENSG00000282750	unprocessed_pseudogene
TBC1D3B	ENSG00000278632	protein_coding
TBC1D3B	ENSG00000274808	protein_coding
TBC1D3C	ENSG00000278299	protein_coding
TBC1D3H	ENSG00000277974	protein_coding
TBC1D3H	ENSG00000274226	protein_coding
TBXA2R	ENSG00000006638	protein_coding
TCF19	ENSG00000233890	protein_coding
TCF19	ENSG00000234674	protein_coding
TCF19	ENSG00000224379	protein_coding
TCF19	ENSG00000224941	protein_coding
TCF19	ENSG00000224472	protein_coding
TCF19	ENSG00000206455	protein_coding
TCF19	ENSG00000137310	protein_coding
TCHHL1	ENSG00000182898	protein_coding
TFPI	ENSG00000003436	protein_coding
TGFBI	ENSG00000120708	protein_coding
THPO	ENSG00000090534	protein_coding
THRB	ENSG00000151090	protein_coding
TLR10	ENSG00000174123	protein_coding
TMCO2	ENSG00000188800	protein_coding
TMEM213	ENSG00000214128	protein_coding
TMEM72	ENSG00000187783	protein_coding
TMIGD3	ENSG00000121933	protein_coding
TMPRSS13	ENSG00000137747	protein_coding
TMPRSS4	ENSG00000137648	protein_coding
TMPRSS7	ENSG00000176040	protein_coding
TNNI3	ENSG00000129991	protein_coding
TRIM17	ENSG00000162931	protein_coding
TRIM71	ENSG00000291501	protein_coding
TRIM71	ENSG00000206557	protein_coding
TSHR	ENSG00000165409	protein_coding
TSPAN11	ENSG00000110900	protein_coding
TTLL9	ENSG00000131044	protein_coding
TXNDC8	ENSG00000204193	protein_coding
TYRP1	ENSG00000107165	protein_coding
VHLL	ENSG00000189030	protein_coding
VMO1	ENSG00000182853	protein_coding
VSIG8	ENSG00000243284	protein_coding
VSTM4	ENSG00000165633	protein_coding
VTN	ENSG00000109072	protein_coding
XKR9	ENSG00000221947	protein_coding
ZAR1L	ENSG00000189167	protein_coding
ZBTB8B	ENSG00000273274	protein_coding
ZGLP1	ENSG00000220201	protein_coding
ZNF483	ENSG00000173258	protein_coding
ZNF705A	ENSG00000196946	protein_coding
ZNF740	ENSG00000139651	protein_coding
ZNF846	ENSG00000196605	protein_coding
ZNF860	ENSG00000197385	protein_coding
ZSCAN5B	ENSG00000197213	protein_coding
